CODE_MIL,CODE_SOB,LABEL_MIL,LABEL_SOB,SIMILARITY
1642,v114099,KAROLUS ROUGE,KAROLUS ROUGE,0.9957756652771819
1871,v119183,PREUILLAC ROUGE,PREUILLAC ROUGE,0.995083660677213
1225,v128058,CLOS J KANON ROUGE,CLOS J KANON ROUGE,0.9949190900743575
2089,v103001,20 MILLE ROUGE,20 MILLE ROUGE,0.9947572149056779
1803,v119098,BROUSTERAS ROUGE,BROUSTERAS ROUGE,0.9936925053902275
2207,v113088,PRELAT DE PAPE CLEMENT ROUGE,PRELAT DE PAPE CLEMENT ROUGE,0.9935582082770994
1392,v125050,CLEMENTIN DE PAPE CLEMENT ROUGE,CLEMENTIN DE PAPE CLEMENT ROUGE,0.9933972053072518
1320,v118126,LABASTIDE DAUZAC ROUGE,LABASTIDE DAUZAC ROUGE,0.9933143028540375
1146,v124001,CARRUADES DE LAFITE ROUGE,CARRUADES DE LAFITE ROUGE,0.9929206049780431
1468,v126091,CLOS RENE ROUGE,CLOS RENE ROUGE,0.9923596255339743
1925,v114202,DOMAINE DE CARTUJAC ROUGE,DOMAINE DE CARTUJAC ROUGE,0.9923052062324386
1282,v108022,CLOS PUY ARNAUD ROUGE,CLOS PUY ARNAUD ROUGE,0.9923007484020425
1346,v114234,MOULINS DE CITRAN ROUGE,MOULINS DE CITRAN ROUGE,0.9922645783702965
1304,v118075,SEGLA ROUGE,SEGLA ROUGE,0.9920316870522031
1365,v116016,BELLEVUE DE FOURCAS DUPRE ROUGE,BELLEVUE DE FOURCAS DUPRE ROUGE,0.9917728659944176
1919,v114197,CLOS LA BOHEME ROUGE,CLOS LA BOHEME ROUGE,0.9915831928003087
1373,v126146,DOMAINE DE COMPOSTELLE ROUGE,DOMAINE DE COMPOSTELLE ROUGE,0.9913978835690807
2120,v130067,SAINT ESTEPHE DE CALON SEGUR ROUGE,SAINT ESTEPHE DE CALON SEGUR ROUGE,0.9908390881573376
1414,v125059,ETOILE DE BERGEY ROUGE,ETOILE DE BERGEY ROUGE,0.9907009667106863
1531,v132028,CONNETABLE TALBOT ROUGE,CONNETABLE TALBOT ROUGE,0.9904447506322059
1332,v132001,AMIRAL DE BEYCHEVELLE ROUGE,AMIRAL DE BEYCHEVELLE ROUGE,0.9903982439450544
1640,v118001,ALTER EGO DE PALMER ROUGE,ALTER EGO DE PALMER ROUGE,0.9899737814430583
1438,v113046,BENJAMIN DE CHANTEGRIVE ROUGE,BENJAMIN DE CHANTEGRIVE ROUGE,0.9898280696394681
1588,v132064,CROIX DUCRU BEAUCAILLOU ROUGE,CROIX DUCRU BEAUCAILLOU ROUGE,0.9898247458290526
1369,v126093,DUO DE CONSEILLANTE ROUGE,DUO DE CONSEILLANTE ROUGE,0.9897319398159292
1341,v130054,FRANK PHELAN ROUGE,FRANK PHELAN ROUGE,0.9895056924341075
1432,v124045,HAUTS DE PONTET CANET ROUGE,HAUTS DE PONTET CANET ROUGE,0.9894080275153239
1347,v114119,DIANE DE BELGRAVE ROUGE,DIANE DE BELGRAVE ROUGE,0.9891940096347037
1303,v118081,S DE SIRAN ROUGE,S DE SIRAN ROUGE,0.9891709642914203
1581,v118077,MARQUIS DE MONS ROUGE,MARQUIS DE MONS ROUGE,0.9891126150160731
1305,v118083,CHEVALIER DE RAUZAN GASSIES ROUGE,CHEVALIER DE RAUZAN GASSIES ROUGE,0.9888816239718095
1504,v124044,FLEUR DE PEDESCLAUX ROUGE,FLEUR DE PEDESCLAUX ROUGE,0.9880635997398985
1315,v118002,BARON DE BRANE ROUGE,BARON DE BRANE ROUGE,0.9873470256002449
1513,v108021,CLOS LES LUNELLES ROUGE,CLOS LES LUNELLES ROUGE,0.9871699019248767
1068,v114098,HERITAGE DE CHASSE SPLEEN ROUGE,HERITAGE DE CHASSE SPLEEN ROUGE,0.9871261118964038
1343,v130110,CHARME DE COS LABORY ROUGE,CHARME DE COS LABORY ROUGE,0.9868766896180468
1564,v132036,SARGET DE GRUAUD LAROSE ROUGE,SARGET DE GRUAUD LAROSE ROUGE,0.986659947795126
1314,v118004,BRIO DE CANTENAC BROWN ROUGE,BRIO DE CANTENAC BROWN ROUGE,0.986268949592791
1313,v118086,INITIAL DE DESMIRAIL ROUGE,INITIAL DE DESMIRAIL ROUGE,0.9858792876169509
1307,v118122,COURONNE DE MARQUIS DE TERME ROUGE,COURONNE DE MARQUIS DE TERME ROUGE,0.9854771572341806
1476,v126141,CLOS DU CLOCHER ROUGE,CLOS DU CLOCHER ROUGE,0.9854052115998716
1060,v118059,CHEVALIER DE LASCOMBES ROUGE,CHEVALIER DE LASCOMBES ROUGE,0.9852352199066537
J2500,v711001,SENA ROUGE,SENA ROUGE,0.9842354382811742
1358,v121022,ORATOIRE DE CHASSE SPLEEN ROUGE,ORATOIRE DE CHASSE SPLEEN ROUGE,0.9839583907841095
1674,v118135,ORIGINE DE DESMIRAIL ROUGE,ORIGINE DE DESMIRAIL ROUGE,0.9833723573244333
1643,v118076,MAROJALLIA ROUGE,MAROJALLIA ROUGE,0.9825706458956394
1204,v126105,MOULINET LASSERRE ROUGE,MOULINET LASSERRE ROUGE,0.9822658284428886
J2192,v800001,MASSETO ROUGE,MASSETO ROUGE,0.9820281398524473
1371,v126096,FLEUR DE CLINET ROUGE,FLEUR DE CLINET ROUGE,0.9819485862064816
1639,v114116,MOULIN DE LA LAGUNE ROUGE,MOULIN DE LA LAGUNE ROUGE,0.9817337831439333
1709,v111051,DELPHIS DE LA DAUPHINE ROUGE,DELPHIS DE LA DAUPHINE ROUGE,0.9814958354783976
1137,v132026,CLOS DU MARQUIS ROUGE,CLOS DU MARQUIS ROUGE,0.9810354524955262
1397,v128032,ESQUISSE DE LA TOUR FIGEAC ROUGE,LESQUISSE DE LA TOUR FIGEAC ROUGE,0.9787793846965652
1449,v311035,CLEMENTIN DE PAPE CLEMENT BLANC,CLEMENTIN DE PAPE CLEMENT BLSEC,0.9769998577188073
2189,v113038,CLOS FLORIDENE ROUGE,CLOS FLORIDENE ROUGE ROUGE,0.973300611085964
1758,v126094,ESPERANCE TROTANOY ROUGE,ESPERANCE DE TROTANOY ROUGE,0.9727164705475386
1246,v115022,LABORDE CUVEE 1628 ROUGE,CHATEAU LABORDE CUVEE 1628 ROUGE,0.9711630671888115
2032,v130028,LAFFITTE CARCASSET ROUGE,CHATEAU LAFFITTE CARCASSET ROUGE,0.9674386064570744
1033,v124030,LAFITE ROTHSCHILD ROUGE,CHATEAU LAFITE ROTHSCHILD ROUGE,0.9661847346645116
2044,v119179,INCLASSABLE ROUGE,LINCLASSABLE ROUGE,0.9637148177924701
1372,v126100,BENJAMIN DE BEAUREGARD ROUGE,LE BENJAMIN DE BEAUREGARD ROUGE,0.9637059951049937
1023,v132016,LEOVILLE POYFERRE ROUGE,CHATEAU LEOVILLE POYFERRE ROUGE,0.9629156306810092
1267,v114057,LAROSE TRINTAUDON ROUGE,CHATEAU LAROSE TRINTAUDON ROUGE,0.9626569743802734
1196,v126059,LATOUR A POMEROL ROUGE,CHATEAU LATOUR A POMEROL ROUGE,0.9624421043272204
2077,v121034,GRANINS GRAND POUJEAUX ROUGE,CHATEAU GRANINS GRAND POUJEAUX ROUGE,0.9615929809870146
1767,v114056,LAROSE PERGANSON ROUGE,CHATEAU LAROSE PERGANSON ROUGE,0.9610152615481564
1451,v125071,ESPRIT DE CHEVALIER ROUGE,LESPRIT DE CHEVALIER ROUGE ROUGE,0.9602454647694798
1947,v114165,LACOUR JACQUET ROUGE,CHATEAU LACOUR JACQUET ROUGE,0.9584925371364098
1699,v114052,LAMOTHE BERGERON ROUGE,CHATEAU LAMOTHE BERGERON ROUGE,0.9583586095206889
1153,v130058,MARQUIS DE CALON SEGUR ROUGE,LE MARQUIS DE CALON SEGUR ROUGE,0.9573017422234231
1877,v119156,ROUSSEAU DE SIPIAN ROUGE,CHATEAU ROUSSEAU DE SIPIAN ROUGE,0.9572763847507061
1306,v118071,BOUQUET DE MONBRISON ROUGE,LE BOUQUET DE MONBRISON ROUGE,0.9570720424973398
1334,v132013,LANGOA BARTON ROUGE,CHATEAU LANGOA BARTON ROUGE,0.9566296912231574
1035,v124035,MOUTON ROTHSCHILD ROUGE,CHATEAU MOUTON ROTHSCHILD ROUGE,0.9561173283613819
2062,v114050,LACHESNAYE ROUGE,CHATEAU LACHESNAYE ROUGE,0.9555300420504794
1991,v116019,CAP LEON VEYRIN ROUGE,CHATEAU CAP LEON VEYRIN ROUGE,0.955284024141849
1548,v124009,COLOMBIER MONPELOU ROUGE,CHATEAU COLOMBIER MONPELOU ROUGE,0.9544600708648503
1413,v125060,L DE LA LOUVIERE ROUGE,L DE LA LOUVIERE ROUGE ROUGE,0.9543256586084659
1022,v132015,LEOVILLE LAS CASES ROUGE,CHATEAU LEOVILLE LAS CASES ROUGE,0.9538648755037876
2193,v114129,BEL AIR GLORIA ROUGE,CHATEAU BEL AIR GLORIA ROUGE,0.953610443012734
2190,v308065,CLOS FLORIDENE BLANC,CLOS FLORIDENE BLSEC,0.9534217357097865
1604,v121003,BRANAS GRAND POUJEAUX ROUGE,CHATEAU BRANAS GRAND POUJEAUX ROUGE,0.9533271291153482
1915,v114130,BELLEGRAVE DU POUJEAU ROUGE,CHATEAU BELLEGRAVE DU POUJEAU ROUGE,0.9530183758910816
2013,v118025,DEYREM VALENTIN ROUGE,CHATEAU DEYREM VALENTIN ROUGE,0.9521291112287
1245,v126103,HOSPITALET DE GAZIN ROUGE,LHOSPITALET DE GAZIN ROUGE,0.9518778200234628
1662,v107017,CANON PECRESSE ROUGE,CHATEAU CANON PECRESSE ROUGE,0.9517361685310102
1883,v119159,SEGUE LONGUE MONNIER ROUGE,CHATEAU SEGUE LONGUE MONNIER ROUGE,0.9513096626126455
1876,v119079,ROQUEGRAVE ROUGE,CHATEAU ROQUEGRAVE ROUGE,0.9508946915298923
1522,v114013,CARONNE SAINTE GEMME ROUGE,CHATEAU CARONNE SAINTE GEMME ROUGE,0.9508754484626949
2088,v111012,CARLMAGNUS ROUGE,CHATEAU CARLMAGNUS ROUGE,0.9500977368977154
2213,v130072,CHATEAU BERNARD MAGREZ ROUGE,CHATEAU BERNARD MAGREZ ROUGE,0.9499477522907044
1726,v125148,S DU SARTRE ROUGE,S DU SARTRE ROUGE ROUGE,0.9498210062289667
1012,v118012,CANTENAC BROWN ROUGE,CHATEAU CANTENAC BROWN ROUGE,0.9494042641207395
1045,v124019,HAUT BAGES LIBERAL ROUGE,CHATEAU HAUT BAGES LIBERAL ROUGE,0.9491252383290603
1435,v118035,LABEGORCE ROUGE,CHATEAU LABEGORCE ROUGE,0.9491047109136418
