CODE_MIL,LABEL_MIL,LB_APPELLATION_MIL
*30,VISITE DES CHAIS 1 PERSONNE,
*31,30G PRIMEUR CAVIAR,
*32,50G PRIMEUR CAVIAR,
*33,30G VINTAGE CAVIAR,
*34,50G VINTAGE CAVIAR,
*35,30G OSCIETRE CAVIAR,
*36,50G OSCIETRE CAVIAR,
*37,BAGAGE A VINS LAZENNE 12 BLES,
*38,CARTON 3 BLES BOURG CHAMPAGNES,
*39,CADENAS CERTIFIES TSA BAGAGES A VIN,
*4,TABLIER LA CAVE COULEUR BORDEAUX,
*40,CAISSETTE BOIS 1 BOUTEILLE,
*41,CAISSETTE BOIS 1 MAGNUM,
*5,CASIER DE 6 BOUTEILLES,
*6,CASIER DE 4 MAGNUNS,
*7,CRACHOIR SABLIER INOX,
*8,ETAMPE,
*9,TABLIER L ECOLE COULEUR NOIRE,
*C15,CAISSE 6 BOUTEILLES MASTER CLASSE MOUTON,
*C2,SAC 3 BTL PAUILLAC 2001,
*C3,SAC 3 BTL ROUGE ET BLANC 2001,
1,L AFFICHE MILLESIMA,
10,SAC EN TOILE DE JUTE 3 BLLES,
100,ANCIEN INITIATION AUX CRUS BOURGEOIS CHATEAU LA FLEUR PEYRABON PAUILLAC 1996 1998 2000,
1001,MARGAUX ROUGE,MARGAUX
1002,RAUZAN SEGLA ROUGE,MARGAUX
1003,RAUZAN GASSIES ROUGE,MARGAUX
1004,LASCOMBES ROUGE,MARGAUX
1005,CARMES DE RIEUSSEC BLANC,SAUTERNES
1006,BRANE CANTENAC ROUGE,MARGAUX
1007,BEAU SOLEIL ROUGE,POMEROL
1008,ISSAN ROUGE,MARGAUX
1009,GISCOURS ROUGE,MARGAUX
101,HORIZONTALE 1998 LES SUPER SECONDS CH MONTROSE LYNCH BAGES DOM DE CHEVALIER,
1010,SIRENE DE GISCOURS ROUGE,MARGAUX
1011,BOYD CANTENAC ROUGE,MARGAUX
1012,CANTENAC BROWN ROUGE,MARGAUX
1013,PALMER ROUGE,MARGAUX
1014,CLOS L EGLISE POMEROL ROUGE,POMEROL
1015,CLOS DE SARPE ROUGE,SAINT EMILION
1016,FAURIE DE SOUCHARD ROUGE,SAINT EMILION
1017,PRIEURE LICHINE ROUGE,MARGAUX
1018,LABEGORCE ZEDE ROUGE,MARGAUX
1019,JEAN FAURE ROUGE,SAINT EMILION
102,LES PREMIERS CRUS CLASSES 2000 CH MARGAUX CH LAFITE ROTHSCHILD CH LATOUR CH MOUTON ROTHSCHILD CH CHEVAL BLANC CH HAUT BRION,
1210,PAVIE DECESSE ROUGE,SAINT EMILION
1211,YON FIGEAC ROUGE,SAINT EMILION
1212,LARMANDE ROUGE,SAINT EMILION
1213,ARROSEE ROUGE,SAINT EMILION
1214,CLOS DE L ORATOIRE ROUGE,SAINT EMILION
1215,ANGELUS ROUGE,SAINT EMILION
1216,CANON LA GAFFELIERE ROUGE,SAINT EMILION
1217,MONBOUSQUET ROUGE,SAINT EMILION
