CODE_SOB,LABEL_SOB,LB_APPELLATION_SOB
v100001,CHATEAU COMBE LONGUE,BLAYE COTES DE BORDEAUX ROUGE
v100002,CHATEAU FONTARABIE,BLAYE COTES DE BORDEAUX ROUGE
v100003,CHATEAU LA BRETONNIERE,BLAYE COTES DE BORDEAUX ROUGE
v100004,CHATEAU L AIGUILLE DU PIN,BLAYE COTES DE BORDEAUX ROUGE
v100005,CHATEAU LES BERTRANDS CUV TRAD,BLAYE COTES DE BORDEAUX ROUGE
v100006,CHATEAU MORILLON,BLAYE COTES DE BORDEAUX ROUGE
v100007,CHT ROLAND LA GARDE TRADITION,BLAYE COTES DE BORDEAUX ROUGE
v100008,CHATEAU LES GRANDS MARECHAUX,BLAYE COTES DE BORDEAUX ROUGE
v100009,CHATEAU GIGAULT,BLAYE COTES DE BORDEAUX ROUGE
v100010,CHATEAU BELLE COLINE,BLAYE COTES DE BORDEAUX ROUGE
v100011,CHATEAU GIGAULT CUVEE VIVA,BLAYE COTES DE BORDEAUX ROUGE
v100012,CHATEAU GRAULET,BLAYE COTES DE BORDEAUX ROUGE
v100013,CHATEAU LES MARECHAUX,BLAYE COTES DE BORDEAUX ROUGE
v100014,CHATEAU BOURDIEU,BLAYE COTES DE BORDEAUX ROUGE
v100015,CHATEAU CANTELOUP LESTAGE,BLAYE COTES DE BORDEAUX ROUGE
v100016,CHATEAU MALLARD LES ROUSSEAUX,BLAYE COTES DE BORDEAUX ROUGE
v101001,CHATEAU BEL AIR LA ROYERE,BLAYE
v101002,CHATEAU LES GRAVETTES CUVEE,BLAYE
v101003,CHATEAU MONDESIR GAZIN,BLAYE
v101004,CHATEAU PETIT BOYER,BLAYE
v102001,CHATEAU CAZEAU,BORDEAUX ROUGE
v102002,ESPRIT DE PAVIE,BORDEAUX ROUGE
v102003,BORD EAUX DU CLOS DES MOISELLE,BORDEAUX ROUGE
v102004,BORDEAUX ORIGAMI,BORDEAUX ROUGE
v102005,CHATEAU ACKER PERREAU,BORDEAUX ROUGE
v102006,CHATEAU ARNAUD PETIT,BORDEAUX ROUGE
v102007,CHATEAU AU GRAND PARIS,BORDEAUX ROUGE
v102008,CHATEAU BALESTARD,BORDEAUX ROUGE
v102009,CHATEAU BARON LE MAYNE,BORDEAUX ROUGE
v102010,CHATEAU BELAIR GRANGENEUVE,BORDEAUX ROUGE
v102011,CHATEAU BELLE GARDE,BORDEAUX ROUGE
v102012,CHATEAU BEYLIE LA CROIX,BORDEAUX ROUGE
v102013,CHATEAU BOISSET ROUGE,BORDEAUX ROUGE
v102014,CHATEAU BRIAND,BORDEAUX ROUGE
v102015,CHATEAU CAPDEVILLE,BORDEAUX ROUGE
v102016,CHATEAU CHAMP DE BOURGEOIS,BORDEAUX ROUGE
v102017,CHATEAU CLOS DU BOURG,BORDEAUX ROUGE
v102018,CHATEAU DARZAC,BORDEAUX ROUGE
v102019,CHATEAU DE BRANDEY,BORDEAUX ROUGE
v102020,CHATEAU DE FONTENILLE ROUGE,BORDEAUX ROUGE
